org,repo,url,number,author,created_at,merged_at,base_branch,head_branch,changed_files,commits,additions,deletions,reviews,time_of_1st_review,reviewers,hrs_open,hrs_to_1st_review,mins_to_1st_review
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/159",159,"bdemers","2018-01-31T21:52:19Z","2018-02-01T21:53:33Z","master","code-cleanup-data-store",2,2,61,86,11,"2018-02-01T17:03:21Z","jmelberg-okta,bdemers,vijetmahabaleshwar-okta",24.02,19.18,1151.03
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/160",160,"bdemers","2018-02-01T21:53:55Z","2018-02-01T22:42:06Z","master","license-headers1",202,1,203,1,1,"2018-02-01T21:59:55Z","jmelberg-okta",0.8,0.1,6
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/161",161,"bdemers","2018-02-01T21:54:38Z","2018-02-01T23:18:27Z","master","license-headers2",13,1,276,378,1,"2018-02-01T23:02:41Z","jmelberg-okta",1.4,1.13,68.05
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/162",162,"bdemers","2018-02-02T18:56:08Z","2018-02-02T21:22:42Z","master","swagger-pw-format",18,1,133,88,5,"2018-02-02T18:58:59Z","bdemers,jmelberg-okta",2.44,0.05,2.85
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/163",163,"bdemers","2018-02-02T18:57:51Z","2018-02-02T21:23:13Z","master","minor-cleanup-duration",1,1,2,2,1,"2018-02-02T20:42:28Z","jmelberg-okta",2.42,1.74,104.62
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/164",164,"bdemers","2018-02-02T21:25:40Z","2018-02-02T23:16:35Z","master","more-javadoc-fixes",9,1,70,70,1,"2018-02-02T22:28:03Z","jmelberg-okta",1.85,1.04,62.38
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/165",165,"bdemers","2018-02-02T21:28:52Z","2018-02-05T18:46:09Z","master","reduce-scope",32,1,79,220,5,"2018-02-03T01:20:25Z","jmelberg-okta,bdemers",69.29,3.86,231.55
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/166",166,"bdemers","2018-02-05T15:39:02Z","2018-02-05T15:57:40Z","master","update-swagger-spec-13",1,1,1,11,1,"2018-02-05T15:41:20Z","bretterer",0.31,0.04,2.3
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/167",167,"bdemers","2018-02-05T20:46:31Z","2018-02-05T21:06:41Z","master","minor-pom-cleanup",2,1,17,13,1,"2018-02-05T21:02:00Z","robertjd",0.34,0.26,15.48
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/168",168,"bdemers","2018-02-05T21:07:57Z","2018-02-05T22:06:40Z","master","version-1-bump",20,2,27,27,1,"2018-02-05T21:10:29Z","robertjd",0.98,0.04,2.53
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/172",172,"bdemers","2018-04-03T13:33:38Z","2018-04-05T21:12:24Z","master","readme-to-contrib",1,1,2,6,2,"2018-04-03T15:52:45Z","mraible,bretterer",55.65,2.32,139.12
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/174",174,"bdemers","2018-04-05T21:29:06Z","2018-04-06T19:54:32Z","master","prep-release-1.0.1",14,5,593,114,7,"2018-04-06T16:14:09Z","vijetmahabaleshwar-okta,bdemers",22.42,18.75,1125.05
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/175",175,"bdemers","2018-04-09T19:19:20Z","2018-04-09T20:45:44Z","master","fix-users-it",1,1,2,2,1,"2018-04-09T20:28:45Z","robertjd",1.44,1.16,69.42
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/176",176,"bdemers","2018-04-10T14:41:51Z","2018-04-10T15:23:05Z","master","fix-javadoc-deploy",3,1,13,4,1,"2018-04-10T14:47:14Z","bretterer",0.69,0.09,5.38
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/177",177,"bdemers","2018-04-13T14:29:30Z","2018-04-13T18:33:37Z","master","disable-cron-deploy",1,1,2,1,1,"2018-04-13T16:27:44Z","bretterer",4.07,1.97,118.23
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/179",179,"bdemers","2018-04-18T14:12:22Z","2018-04-23T15:04:38Z","master","fix-tag-point",1,1,1,1,1,"2018-04-18T14:13:29Z","bretterer",120.87,0.02,1.12
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/180",180,"vijetmahabaleshwar-okta","2018-04-18T18:02:26Z","2018-04-18T20:53:00Z","master","vm-trex-cron-job",1,1,3,0,1,"2018-04-18T20:51:06Z","bdemers",2.84,2.81,168.67
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/182",182,"bdemers","2018-04-23T15:06:56Z","2018-05-11T21:11:25Z","master","expose-for-authn",49,28,1227,361,7,"2018-04-23T15:07:30Z","bdemers,nbarbettini,laura-rodriguez,jmelberg-okta",438.07,0.01,0.57
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/185",185,"bdemers","2018-04-30T21:34:27Z","2018-05-01T13:44:19Z","expose-for-authn","service-for-package-dir",4,1,76,3,3,"2018-04-30T21:35:45Z","bdemers,jmelberg-okta",16.16,0.02,1.3
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/186",186,"bdemers","2018-05-01T17:29:05Z","2018-06-04T19:15:35Z","master","nextLogin-backward-compat",7,2,267,83,5,"2018-06-04T15:06:42Z","bretterer,bdemers",817.78,813.63,48817.62
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/188",188,"bdemers","2018-05-18T18:20:46Z","2018-05-18T18:46:43Z","master","fix-sms-factor-it",1,1,5,3,1,"2018-05-18T18:39:48Z","vijetmahabaleshwar-okta",0.43,0.32,19.03
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/190",190,"gabrielsroka","2018-05-27T23:44:09Z","2018-05-30T15:19:15Z","master","patch-3",1,2,3,3,0,"","",63.59,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/191",191,"bdemers","2018-05-29T17:37:35Z","2018-05-29T18:08:36Z","master","ci-build-cleanup",2,2,29,13,1,"2018-05-29T17:43:55Z","bretterer",0.52,0.11,6.33
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/192",192,"bdemers","2018-05-30T15:01:42Z","2018-06-18T13:36:15Z","master","client-builder-doc",1,1,4,7,1,"2018-06-05T16:01:57Z","bretterer",454.58,145,8700.25
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/193",193,"bdemers","2018-05-30T16:14:36Z","2018-06-05T15:09:03Z","master","pr-57",1,2,9,0,2,"2018-06-01T16:36:57Z","jmelberg-okta,bdemers",142.91,48.37,2902.35
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/194",194,"bdemers","2018-05-30T18:59:55Z","2018-06-20T18:59:14Z","master","add-xref",3,1,12,4,3,"2018-06-18T15:52:43Z","jmelberg-okta,bdemers",503.99,452.88,27172.8
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/195",195,"bdemers","2018-06-07T15:56:34Z","2018-06-13T16:53:30Z","master","expose-http",16,4,588,26,3,"2018-06-11T17:45:43Z","robertjd,bdemers",144.95,97.82,5869.15
